id_produk,minggu,current_event,id_toko,harga_promosi,diskon,diskon_margin,hari_jual,kedaluwarsa,tanggal_transaksi
P0003594,40,Promo Akhir Pekan,1,6600,0.1734,-0.0388,128,237,2023-10-01
P0002293,40,Promo Akhir Pekan,1,4500,0.1073,0.1438,169,196,2023-10-01
P0002613,40,Promo Akhir Pekan,1,6500,0.415,-0.4582,5,5,2023-10-01
P0000149,40,Promo Akhir Pekan,1,4700,0.1654,-0.0306,67,298,2023-10-01
P0002305,40,Promo Akhir Pekan,1,19100,0.1602,0.038,172,193,2023-10-01
P0001491,40,Promo Akhir Pekan,1,12700,0.0773,0.0898,1,9,2023-10-01
P0004353,40,Promo Akhir Pekan,1,9900,0.0731,0.101,102,263,2023-10-01
P0000705,40,Promo Akhir Pekan,1,25300,0.059,0.1308,106,434,2023-10-01
P0006474,40,Promo Akhir Pekan,1,8800,0.0758,0.1127,145,220,2023-10-01
P0000425,40,Promo Akhir Pekan,1,9100,0.1538,0.0114,36,329,2023-10-01
P0008422,40,Promo Akhir Pekan,1,5300,0.0786,0.1574,147,218,2023-10-01
P0007713,40,Promo Akhir Pekan,1,5900,0.0888,0.0934,73,292,2023-10-01
P0005779,40,Promo Akhir Pekan,1,5100,0.1891,-0.0661,180,185,2023-10-01
P0005415,40,Promo Akhir Pekan,1,8200,0.3956,-0.3562,5,5,2023-10-01
P0006689,40,Promo Akhir Pekan,1,2700,0.1893,-0.017,109,256,2023-10-01
P0003965,40,Promo Akhir Pekan,1,3100,0.134,-0.0184,35,330,2023-10-01
P0008276,40,Promo Akhir Pekan,1,6800,0.1966,0.0088,55,310,2023-10-01
P0002306,40,Promo Akhir Pekan,1,6400,0.1186,0.1142,168,197,2023-10-01
P0003252,40,Promo Akhir Pekan,1,4100,0.1872,0.0429,19,346,2023-10-01
P0006637,40,Promo Akhir Pekan,1,11200,0.1777,-0.0532,1,9,2023-10-01
P0005521,40,Promo Akhir Pekan,1,4900,0.1794,-0.038,21,344,2023-10-01
P0000873,40,Promo Akhir Pekan,1,5700,0.1808,0.036,123,242,2023-10-01
P0001188,40,Promo Akhir Pekan,1,5200,0.0811,0.13,166,199,2023-10-01
P0003666,40,Promo Akhir Pekan,1,15600,0.07,0.0688,37,328,2023-10-01
P0007800,40,Promo Akhir Pekan,1,12700,0.1376,0.0254,50,315,2023-10-01
P0005239,40,Promo Akhir Pekan,1,9200,0.4931,-0.7045,7,3,2023-10-01
P0000965,40,Promo Akhir Pekan,1,35600,0.1771,0.0566,50,490,2023-10-01
P0004119,40,Promo Akhir Pekan,1,11700,0.1108,0.1083,2,8,2023-10-01
P0007127,40,Promo Akhir Pekan,1,12800,0.1822,-0.0622,2,8,2023-10-01
P0005128,40,Promo Akhir Pekan,1,4500,0.1732,-0.0178,17,348,2023-10-01
P0001075,40,Promo Akhir Pekan,1,4000,0.0963,0.052,121,244,2023-10-01
P0003802,40,Promo Akhir Pekan,1,13200,0.1897,0.019,70,295,2023-10-01
P0002503,40,Promo Akhir Pekan,1,9100,0.4747,-0.5502,6,4,2023-10-01
P0007379,40,Promo Akhir Pekan,1,14400,0.1927,0.0284,126,239,2023-10-01
P0007845,40,Promo Akhir Pekan,1,23400,0.139,0.0317,87,278,2023-10-01
P0007772,40,Promo Akhir Pekan,1,8000,0.1551,-0.0152,58,307,2023-10-01
P0006449,40,Promo Akhir Pekan,1,5100,0.0891,0.0998,50,315,2023-10-01
P0004536,40,Promo Akhir Pekan,1,4500,0.1739,-0.0311,57,308,2023-10-01
P0003955,40,Promo Akhir Pekan,1,6000,0.1797,0.0395,141,224,2023-10-01
P0006199,40,Promo Akhir Pekan,1,9300,0.4357,-0.4277,3,7,2023-10-01
P0001429,40,Promo Akhir Pekan,1,11200,0.1675,-0.0242,56,309,2023-10-01
P0008095,40,Promo Akhir Pekan,1,5200,0.0949,0.0587,139,226,2023-10-01
P0006798,40,Promo Akhir Pekan,1,8700,0.1612,0.0205,169,196,2023-10-01
P0005794,40,Promo Akhir Pekan,1,8500,0.1714,0.0379,154,211,2023-10-01
P0003606,40,Promo Akhir Pekan,1,3800,0.0837,0.1305,167,198,2023-10-01
P0002440,40,Promo Akhir Pekan,1,11800,0.1334,0.0512,166,199,2023-10-01
P0005631,40,Promo Akhir Pekan,1,36000,0.0781,0.1541,148,217,2023-10-01
P0008027,40,Promo Akhir Pekan,1,21800,0.1839,-0.0601,38,327,2023-10-01
P0000835,40,Promo Akhir Pekan,1,12200,0.4417,-0.3785,3,7,2023-10-01
P0007251,40,Promo Akhir Pekan,1,6200,0.1184,0.0611,65,300,2023-10-01
P0002820,40,Promo Akhir Pekan,1,4500,0.1475,0.0244,140,225,2023-10-01
P0000621,40,Promo Akhir Pekan,1,11100,0.1647,-0.0439,65,300,2023-10-01
P0000761,40,Promo Akhir Pekan,1,1600,0.0784,0.1044,90,275,2023-10-01
P0005701,40,Promo Akhir Pekan,1,5700,0.1692,-0.0132,113,252,2023-10-01
P0003356,40,Promo Akhir Pekan,1,13700,0.1916,-0.0318,50,315,2023-10-01
P0007368,40,Promo Akhir Pekan,1,14000,0.1862,0.0103,167,198,2023-10-01
P0003755,40,Promo Akhir Pekan,1,10600,0.1438,0.0151,176,189,2023-10-01
P0000865,40,Promo Akhir Pekan,1,21900,0.0717,0.0721,48,317,2023-10-01
P0007052,40,Promo Akhir Pekan,1,14900,0.0978,0.0786,2,8,2023-10-01
P0005762,40,Promo Akhir Pekan,1,39500,0.1764,0.0518,169,371,2023-10-01
P0004237,40,Promo Akhir Pekan,1,14900,0.0804,0.0591,101,264,2023-10-01
P0004662,40,Promo Akhir Pekan,1,3700,0.0959,0.1373,56,309,2023-10-01
P0003141,40,Promo Akhir Pekan,1,2200,0.1239,0.0905,28,337,2023-10-01
P0008393,40,Promo Akhir Pekan,1,11300,0.3736,-0.2888,6,4,2023-10-01
P0007597,40,Promo Akhir Pekan,1,3500,0.1344,0.06,40,325,2023-10-01
P0005805,40,Promo Akhir Pekan,1,8700,0.069,0.1026,167,198,2023-10-01
P0008335,40,Promo Akhir Pekan,1,28100,0.0528,0.1599,173,192,2023-10-01
P0000144,40,Promo Akhir Pekan,1,14200,0.4125,-0.3213,3,7,2023-10-01
P0005991,40,Promo Akhir Pekan,1,2500,0.1509,0.0208,100,265,2023-10-01
P0001007,40,Promo Akhir Pekan,1,12400,0.0802,0.0536,2,8,2023-10-01
P0004069,40,Promo Akhir Pekan,1,5400,0.1447,-0.0057,54,311,2023-10-01
P0003403,40,Promo Akhir Pekan,1,7300,0.1251,0.107,39,326,2023-10-01
P0003937,40,Promo Akhir Pekan,1,11700,0.1736,-0.0371,97,268,2023-10-01
P0001525,40,Promo Akhir Pekan,1,15800,0.1557,0.0609,177,188,2023-10-01
P0004950,40,Promo Akhir Pekan,1,4100,0.0936,0.0471,115,250,2023-10-01
P0001064,40,Promo Akhir Pekan,1,12300,0.4155,-0.4098,5,5,2023-10-01
P0005347,40,Promo Akhir Pekan,1,16300,0.1734,0.0658,124,416,2023-10-01
P0005348,40,Promo Akhir Pekan,1,35000,0.1609,0.0591,78,462,2023-10-01
P0005107,40,Promo Akhir Pekan,1,4200,0.1685,-0.056,36,329,2023-10-01
P0003764,40,Promo Akhir Pekan,1,4800,0.125,0.0256,154,211,2023-10-01
P0005848,40,Promo Akhir Pekan,1,8600,0.1361,0.0273,161,204,2023-10-01
P0006735,40,Promo Akhir Pekan,1,4000,0.1346,0.022,145,220,2023-10-01
P0000147,40,Promo Akhir Pekan,1,27900,0.1531,-0.0109,176,364,2023-10-01
P0007938,40,Promo Akhir Pekan,1,12500,0.1908,-0.0402,21,344,2023-10-01
P0005126,40,Promo Akhir Pekan,1,10900,0.0713,0.1567,144,221,2023-10-01
P0008467,40,Promo Akhir Pekan,1,12300,0.0933,0.1215,111,254,2023-10-01
P0006615,40,Promo Akhir Pekan,1,7800,0.1373,0.0558,134,231,2023-10-01
P0003687,40,Promo Akhir Pekan,1,9100,0.1972,0.0077,46,319,2023-10-01
P0005486,40,Promo Akhir Pekan,1,19100,0.1501,0.0546,34,331,2023-10-01
P0002915,40,Promo Akhir Pekan,1,14300,0.0776,0.0906,21,344,2023-10-01
P0007445,40,Promo Akhir Pekan,1,5400,0.0767,0.0748,75,290,2023-10-01
P0006258,40,Promo Akhir Pekan,1,23900,0.1819,0.0438,88,277,2023-10-01
P0003266,40,Promo Akhir Pekan,1,2000,0.1735,-0.0115,53,312,2023-10-01
P0008117,40,Promo Akhir Pekan,1,2100,0.1775,0.0767,107,258,2023-10-01
