id_produk,minggu,current_event,id_toko,harga_promosi,diskon,diskon_margin,hari_jual,kedaluwarsa,tanggal_transaksi
P0007165,26,Promo Akhir Pekan,1,10200,0.1298,0.0868,116,249,2023-07-01
P0008839,26,Promo Akhir Pekan,1,17900,0.0523,0.1845,179,186,2023-07-01
P0001283,26,Promo Akhir Pekan,1,20800,0.1262,0.1164,114,426,2023-07-01
P0005339,26,Promo Akhir Pekan,1,3800,0.0811,0.0689,111,254,2023-07-01
P0000910,26,Promo Akhir Pekan,1,5200,0.4312,-0.4698,6,4,2023-07-01
P0009073,26,Promo Akhir Pekan,1,3100,0.1432,-0.0152,65,300,2023-07-01
P0008145,26,Promo Akhir Pekan,1,4900,0.0717,0.1084,123,242,2023-07-01
P0003485,26,Promo Akhir Pekan,1,33400,0.1778,-0.0233,35,505,2023-07-01
P0007475,26,Promo Akhir Pekan,1,3800,0.1806,-0.0047,71,294,2023-07-01
P0006580,26,Promo Akhir Pekan,1,5700,0.1671,0.0333,178,187,2023-07-01
P0005690,26,Promo Akhir Pekan,1,11600,0.0615,0.1753,2,8,2023-07-01
P0008257,26,Promo Akhir Pekan,1,11000,0.1572,-0.0007,118,247,2023-07-01
P0001907,26,Promo Akhir Pekan,1,2900,0.1304,0.1255,44,321,2023-07-01
P0002823,26,Promo Akhir Pekan,1,6000,0.1142,0.0398,63,302,2023-07-01
P0004993,26,Promo Akhir Pekan,1,1300,0.1268,0.03,180,185,2023-07-01
P0002557,26,Promo Akhir Pekan,1,9700,0.1551,0.0781,36,329,2023-07-01
P0000651,26,Promo Akhir Pekan,1,23100,0.0942,0.0512,59,481,2023-07-01
P0001302,26,Promo Akhir Pekan,1,9500,0.495,-0.6163,7,3,2023-07-01
P0003928,26,Promo Akhir Pekan,1,3400,0.1386,0.0212,44,321,2023-07-01
P0001973,26,Promo Akhir Pekan,1,4900,0.1896,0.0273,74,291,2023-07-01
P0005182,26,Promo Akhir Pekan,1,6700,0.1687,0.0803,138,227,2023-07-01
P0004010,26,Promo Akhir Pekan,1,11300,0.1118,0.0522,81,284,2023-07-01
P0001926,26,Promo Akhir Pekan,1,10300,0.1723,0.0406,138,227,2023-07-01
P0006236,26,Promo Akhir Pekan,1,13500,0.346,-0.2386,7,3,2023-07-01
P0008502,26,Promo Akhir Pekan,1,8400,0.1112,0.0525,86,279,2023-07-01
P0007654,26,Promo Akhir Pekan,1,8000,0.3912,-0.3451,4,6,2023-07-01
P0005024,26,Promo Akhir Pekan,1,19500,0.1501,0.0902,87,278,2023-07-01
P0004589,26,Promo Akhir Pekan,1,5600,0.1399,0.0182,109,256,2023-07-01
P0003046,26,Promo Akhir Pekan,1,10200,0.1897,0.0427,140,225,2023-07-01
P0001509,26,Promo Akhir Pekan,1,17600,0.1444,-0.0047,1,9,2023-07-01
P0004359,26,Promo Akhir Pekan,1,4500,0.0525,0.1264,69,296,2023-07-01
P0004158,26,Promo Akhir Pekan,1,7100,0.0676,0.1552,44,321,2023-07-01
P0003633,26,Promo Akhir Pekan,1,19100,0.124,0.1196,1,9,2023-07-01
P0002101,26,Promo Akhir Pekan,1,39600,0.1612,0.0528,93,447,2023-07-01
P0005791,26,Promo Akhir Pekan,1,12700,0.1508,0.0643,2,8,2023-07-01
P0004108,26,Promo Akhir Pekan,1,10400,0.113,0.0322,84,281,2023-07-01
P0000638,26,Promo Akhir Pekan,1,5600,0.066,0.1309,131,234,2023-07-01
P0004169,26,Promo Akhir Pekan,1,6200,0.1068,0.0895,103,262,2023-07-01
P0005047,26,Promo Akhir Pekan,1,30100,0.1904,-0.0705,160,380,2023-07-01
P0008541,26,Promo Akhir Pekan,1,20100,0.0537,0.0871,25,340,2023-07-01
P0001549,26,Promo Akhir Pekan,1,9400,0.1673,0.0122,1,9,2023-07-01
P0002078,26,Promo Akhir Pekan,1,19800,0.0978,0.0816,167,198,2023-07-01
P0002208,26,Promo Akhir Pekan,1,4200,0.0504,0.1052,140,225,2023-07-01
P0000375,26,Promo Akhir Pekan,1,5000,0.1902,0.0226,155,210,2023-07-01
P0005478,26,Promo Akhir Pekan,1,8200,0.0812,0.1578,175,190,2023-07-01
P0001938,26,Promo Akhir Pekan,1,4200,0.1682,0.0574,51,314,2023-07-01
P0000633,26,Promo Akhir Pekan,1,12800,0.1514,0.082,135,230,2023-07-01
P0003326,26,Promo Akhir Pekan,1,2300,0.1625,0.09,97,268,2023-07-01
P0004632,26,Promo Akhir Pekan,1,38400,0.0993,0.1231,55,485,2023-07-01
P0000606,26,Promo Akhir Pekan,1,21600,0.0983,0.0987,124,241,2023-07-01
P0004491,26,Promo Akhir Pekan,1,1500,0.1013,0.1247,45,320,2023-07-01
P0005308,26,Promo Akhir Pekan,1,24500,0.0579,0.1586,26,514,2023-07-01
P0005555,26,Promo Akhir Pekan,1,5300,0.0642,0.1474,104,261,2023-07-01
P0009131,26,Promo Akhir Pekan,1,6900,0.1426,-0.0129,147,218,2023-07-01
P0001290,26,Promo Akhir Pekan,1,20200,0.0756,0.0969,2,8,2023-07-01
P0000995,26,Promo Akhir Pekan,1,27000,0.1597,-0.0133,137,403,2023-07-01
P0006949,26,Promo Akhir Pekan,1,15200,0.1743,0.0249,2,8,2023-07-01
P0004923,26,Promo Akhir Pekan,1,21300,0.0946,0.0814,130,410,2023-07-01
P0001453,26,Promo Akhir Pekan,1,8700,0.3134,-0.1278,3,7,2023-07-01
P0003397,26,Promo Akhir Pekan,1,9400,0.1421,0.0424,70,295,2023-07-01
P0002426,26,Promo Akhir Pekan,1,6100,0.0943,0.0633,147,218,2023-07-01
P0002799,26,Promo Akhir Pekan,1,36900,0.1098,0.1287,98,442,2023-07-01
P0000380,26,Promo Akhir Pekan,1,17000,0.0545,0.1824,80,285,2023-07-01
P0008080,26,Promo Akhir Pekan,1,10000,0.0836,0.139,157,208,2023-07-01
P0008866,26,Promo Akhir Pekan,1,7000,0.0513,0.148,62,303,2023-07-01
P0008477,26,Promo Akhir Pekan,1,6400,0.1114,0.0397,37,328,2023-07-01
P0000522,26,Promo Akhir Pekan,1,19500,0.1122,0.0985,1,9,2023-07-01
P0001516,26,Promo Akhir Pekan,1,29100,0.0914,0.0769,61,479,2023-07-01
P0003683,26,Promo Akhir Pekan,1,20400,0.1737,0.0013,180,360,2023-07-01
P0003967,26,Promo Akhir Pekan,1,2500,0.0903,0.1052,40,325,2023-07-01
P0004687,26,Promo Akhir Pekan,1,1700,0.1289,0.0271,147,218,2023-07-01
