id_produk,minggu,current_event,id_toko,harga_promosi,diskon,diskon_margin,hari_jual,kedaluwarsa,tanggal_transaksi
P0008077,13,Ramadan,1,6100,0.0,0.2239,106,259,2023-04-01
P0008330,13,Ramadan,1,4400,0.0,0.198,157,208,2023-04-01
P0004102,13,Ramadan,1,7700,0.0,0.1897,175,190,2023-04-01
P0000970,13,Ramadan,1,14900,0.0,0.2233,85,280,2023-04-01
P0008791,13,Ramadan,1,23500,0.0,0.2282,20,345,2023-04-01
P0006915,13,Ramadan,1,25300,0.1349,0.0169,128,237,2023-04-01
P0005429,13,Ramadan,1,13300,0.0,0.1753,99,266,2023-04-01
P0001639,13,Ramadan,1,36600,0.125,0.0499,94,271,2023-04-01
P0000916,13,Ramadan,1,16700,0.1413,0.0919,108,257,2023-04-01
P0001143,13,Ramadan,1,7200,0.0,0.1747,57,308,2023-04-01
P0005099,13,Ramadan,1,12500,0.0,0.1442,31,334,2023-04-01
P0000303,13,Ramadan,1,5700,0.0,0.2247,31,334,2023-04-01
P0005627,13,Ramadan,1,8100,0.0,0.1447,46,319,2023-04-01
P0007276,13,Ramadan,1,3800,0.0,0.1837,71,294,2023-04-01
P0007358,13,Ramadan,1,10800,0.0,0.1578,59,306,2023-04-01
P0002017,13,Ramadan,1,11400,0.0,0.2126,145,220,2023-04-01
P0001277,13,Ramadan,1,4600,0.0,0.1467,138,227,2023-04-01
P0004720,13,Ramadan,1,12500,0.4491,-0.4228,6,4,2023-04-01
P0005706,13,Ramadan,1,30000,0.1546,0.0012,40,325,2023-04-01
P0000311,13,Ramadan,1,19300,0.144,0.043,140,225,2023-04-01
P0007120,13,Ramadan,1,16500,0.0,0.1963,31,334,2023-04-01
P0005468,13,Ramadan,1,3200,0.0,0.1903,28,337,2023-04-01
P0002748,13,Ramadan,1,10900,0.0,0.171,50,315,2023-04-01
P0006130,13,Ramadan,1,15600,0.0,0.2186,49,316,2023-04-01
P0001478,13,Ramadan,1,18400,0.1174,0.1174,148,217,2023-04-01
P0006176,13,Ramadan,1,2700,0.0,0.1641,104,261,2023-04-01
P0000414,13,Ramadan,1,2800,0.0,0.1396,60,305,2023-04-01
P0003895,13,Ramadan,1,49300,0.0,0.1928,23,517,2023-04-01
P0005486,13,Ramadan,1,19100,0.1532,0.0546,76,289,2023-04-01
P0002672,13,Ramadan,1,3200,0.0,0.1984,148,217,2023-04-01
P0007971,13,Ramadan,1,22800,0.0,0.1471,129,411,2023-04-01
P0005057,13,Ramadan,1,27600,0.2247,-0.0564,100,265,2023-04-01
P0003398,13,Ramadan,1,12600,0.187,-0.0023,164,201,2023-04-01
P0007324,13,Ramadan,1,35500,0.178,0.0566,103,262,2023-04-01
P0001586,13,Ramadan,1,2700,0.0,0.1515,66,299,2023-04-01
P0006331,13,Ramadan,1,4900,0.0,0.2049,175,190,2023-04-01
P0005653,13,Ramadan,1,5800,0.0,0.2066,96,269,2023-04-01
