id_produk,minggu,current_event,id_toko,harga_promosi,diskon,diskon_margin,hari_jual,kedaluwarsa,tanggal_transaksi
P0003309,66,Ramadan,1,36300,0.0,0.2246,115,425,2024-04-01
P0004436,66,Ramadan,1,3700,0.0,0.1443,125,240,2024-04-01
P0003445,66,Ramadan,1,30400,0.1495,0.0666,95,270,2024-04-01
P0008958,66,Ramadan,1,22400,0.2277,-0.0561,69,296,2024-04-01
P0004462,66,Ramadan,1,21900,0.2077,-0.0097,29,336,2024-04-01
P0004278,66,Ramadan,1,22400,0.0,0.2162,19,521,2024-04-01
P0004185,66,Ramadan,1,11900,0.1142,0.0776,180,185,2024-04-01
P0009085,66,Ramadan,1,45200,0.0,0.1399,25,515,2024-04-01
P0004880,66,Ramadan,1,31100,0.2447,-0.0343,62,303,2024-04-01
P0001973,66,Ramadan,1,6100,0.0,0.2187,59,306,2024-04-01
P0007327,66,Ramadan,1,51200,0.0,0.2226,29,511,2024-04-01
P0003987,66,Ramadan,1,3700,0.0,0.1435,58,307,2024-04-01
P0002936,66,Ramadan,1,16900,0.0,0.1618,97,268,2024-04-01
P0003334,66,Ramadan,1,16400,0.1292,0.0631,79,286,2024-04-01
P0001072,66,Ramadan,1,15300,0.243,-0.1105,150,215,2024-04-01
P0004125,66,Ramadan,1,12300,0.2425,-0.0958,156,209,2024-04-01
P0002157,66,Ramadan,1,23900,0.1624,0.0591,109,256,2024-04-01
P0008438,66,Ramadan,1,31200,0.1669,0.0004,46,319,2024-04-01
P0008339,66,Ramadan,1,13700,0.2492,-0.0352,106,259,2024-04-01
P0005446,66,Ramadan,1,33200,0.1542,-0.0113,73,292,2024-04-01
P0002401,66,Ramadan,1,23900,0.1145,0.126,119,246,2024-04-01
P0004857,66,Ramadan,1,21500,0.1769,0.0571,124,241,2024-04-01
P0000703,66,Ramadan,1,21200,0.2079,-0.0481,169,196,2024-04-01
P0002242,66,Ramadan,1,4200,0.0,0.1831,42,323,2024-04-01
P0000226,66,Ramadan,1,3000,0.0,0.161,146,219,2024-04-01
P0006861,66,Ramadan,1,22800,0.1094,0.0957,109,256,2024-04-01
P0005422,66,Ramadan,1,10100,0.0,0.2,114,251,2024-04-01
P0009194,66,Ramadan,1,4800,0.0,0.1954,34,331,2024-04-01
P0006965,66,Ramadan,1,12700,0.0,0.1566,47,318,2024-04-01
P0003108,66,Ramadan,1,11000,0.0,0.1453,70,295,2024-04-01
P0008782,66,Ramadan,1,3800,0.0,0.2161,22,343,2024-04-01
P0004641,66,Ramadan,1,5200,0.0,0.1469,101,264,2024-04-01
P0000845,66,Ramadan,1,14800,0.1804,0.0449,17,348,2024-04-01
P0006991,66,Ramadan,1,11700,0.0,0.2091,51,314,2024-04-01
P0007559,66,Ramadan,1,4500,0.0,0.2051,175,190,2024-04-01
P0005521,66,Ramadan,1,6000,0.0,0.1523,143,222,2024-04-01
P0005379,66,Ramadan,1,15600,0.0,0.1913,108,257,2024-04-01
P0004479,66,Ramadan,1,14200,0.3319,-0.1565,6,4,2024-04-01
P0003254,66,Ramadan,1,32300,0.1466,0.0491,19,346,2024-04-01
P0005283,66,Ramadan,1,11600,0.0,0.1979,132,233,2024-04-01
P0004530,66,Ramadan,1,15000,0.0,0.1695,97,268,2024-04-01
