id_produk,minggu,tanggal_transaksi,current_event,id_toko,harga_promosi,diskon,margin_promosi,hari_jual,kedaluwarsa
P0006291,1,2023-01-01,Promo Akhir Pekan,1,8000,0.166,0.05,66,299
P0004992,1,2023-01-01,Promo Akhir Pekan,1,6700,0.1111,0.0448,128,237
P0004158,1,2023-01-01,Promo Akhir Pekan,1,30700,0.0602,0.1433,119,246
P0006928,1,2023-01-01,Promo Akhir Pekan,1,6900,0.1032,0.1304,111,254
P0004797,1,2023-01-01,Promo Akhir Pekan,1,18800,0.069,0.133,85,280
P0002150,1,2023-01-01,Promo Akhir Pekan,1,58100,0.1491,0.0861,39,326
P0005399,1,2023-01-01,Promo Akhir Pekan,1,13863,0.1808,0.0262,97,268
P0008410,1,2023-01-01,Promo Akhir Pekan,1,36400,0.0714,0.1181,91,274
P0007798,1,2023-01-01,Promo Akhir Pekan,1,26900,0.1038,0.1115,149,216
P0003878,1,2023-01-01,Promo Akhir Pekan,1,3600,0.0539,0.1389,91,274
P0007962,1,2023-01-01,Promo Akhir Pekan,1,13000,0.1823,0.0077,109,256
P0002516,1,2023-01-01,Promo Akhir Pekan,1,12100,0.1729,0.0248,178,187
P0006066,1,2023-01-01,Promo Akhir Pekan,1,17500,0.1514,0.0114,88,277
P0000951,1,2023-01-01,Promo Akhir Pekan,1,2942,0.3805,0.1162,6,4
P0005561,1,2023-01-01,Promo Akhir Pekan,1,16100,0.1366,0.1056,27,338
P0001979,1,2023-01-01,Promo Akhir Pekan,1,17700,0.1255,0.0113,50,315
P0001716,1,2023-01-01,Promo Akhir Pekan,1,24700,0.0993,0.081,78,287
P0004534,1,2023-01-01,Promo Akhir Pekan,1,26100,0.1628,0.0383,136,229
P0000961,1,2023-01-01,Promo Akhir Pekan,1,24500,0.1427,0.0286,51,314
P0001404,1,2023-01-01,Promo Akhir Pekan,1,31600,0.0951,0.1361,53,312
P0003657,1,2023-01-01,Promo Akhir Pekan,1,16909,0.1709,0.0124,2,8
P0002022,1,2023-01-01,Promo Akhir Pekan,1,3730,0.1811,0.0349,171,194
P0000932,1,2023-01-01,Promo Akhir Pekan,1,61000,0.1938,0.0197,99,266
P0008781,1,2023-01-01,Promo Akhir Pekan,1,7700,0.0844,0.0779,102,263
P0008480,1,2023-01-01,Promo Akhir Pekan,1,14000,0.1859,0.0429,157,208
P0005143,1,2023-01-01,Promo Akhir Pekan,1,10377,0.3197,0.0267,5,5
