id_produk,minggu,tanggal_transaksi,current_event,id_toko,harga_promosi,diskon,tipe_diskon,margin_promosi,hari_jual,kedaluwarsa
P0004731,105,2025-01-01,Tahun Baru,1,52000,0.0542,Event Based Discount,0.1038,122,243
P0001086,105,2025-01-01,Tahun Baru,1,12500,0.0824,Event Based Discount,0.112,89,276
P0005869,105,2025-01-01,Tahun Baru,1,7900,0.1295,Event Based Discount,0.0886,31,334
P0008820,105,2025-01-01,Tahun Baru,1,46200,0.0578,Event Based Discount,0.171,133,232
P0003364,105,2025-01-01,Tahun Baru,1,26900,0.0999,Event Based Discount,0.0892,87,278
P0005785,105,2025-01-01,Tahun Baru,1,11300,0.1068,Event Based Discount,0.0442,50,315
P0002708,105,2025-01-01,Tahun Baru,1,45000,0.1493,Event Based Discount,0.0267,19,346
P0004109,105,2025-01-01,Tahun Baru,1,12100,0.0564,Event Based Discount,0.1322,151,214
P0001801,105,2025-01-01,Tahun Baru,1,69700,0.1111,Event Based Discount,0.0746,29,336
P0003289,105,2025-01-01,Tahun Baru,1,39600,0.0748,Event Based Discount,0.149,81,284
P0004055,105,2025-01-01,Tahun Baru,1,3400,0.051,Event Based Discount,0.1765,170,195
P0009080,105,2025-01-01,Tahun Baru,1,7300,0.1258,Event Based Discount,0.0137,176,189
P0004536,105,2025-01-01,Tahun Baru,1,3100,0.0912,Event Based Discount,0.0968,36,329
P0001453,105,2025-01-01,Tahun Baru,1,23950,0.0,Event Based Discount,0.1482,133,232
P0006661,105,2025-01-01,Tahun Baru,1,4500,0.0698,Event Based Discount,0.1333,128,237
P0006418,105,2025-01-01,Tahun Baru,1,11100,0.1215,Event Based Discount,0.0631,98,267
P0004548,105,2025-01-01,Tahun Baru,1,6300,0.101,Event Based Discount,0.0317,102,263
P0000043,105,2025-01-01,Tahun Baru,1,10000,0.149,Event Based Discount,0.09,104,261
P0002533,105,2025-01-01,Tahun Baru,1,11100,0.1196,Event Based Discount,0.009,162,203
P0005781,105,2025-01-01,Tahun Baru,1,70200,0.0874,Event Based Discount,0.104,98,267
